Date UTC,bms-Jaguar 1  Unit 21B8  bms_1-MaxCellV (max),bms-Jaguar 1  Unit 21B8  bms_2-MaxCellV (max),bms-Jaguar 1  Unit 21B8  bms_2-SysCurrent (max),pcs-Jaguar 1  Unit 21B8  pcs_1-DCkW (max),pcs-Jaguar 1  Unit 21B8  pcs_1-kW (max),unit-Jaguar 1  Unit 21B8-Pset (max),unit-Jaguar 1  Unit 21B8-BMS_MinP_Bus1 (max),unit-Jaguar 1  Unit 21B8-BMS_MinP_Bus2 (max),unit-Jaguar 1  Unit 21B8-AllowedMinP (max),bms-Jaguar 1  Unit 21B8  bms_2-ChaCurrLimit (max),pcs_module-Jaguar 1  Unit 21B8  pcs_1_module_1-P (max),pcs_module-Jaguar 1  Unit 21B8  pcs_1_module_2-P (max),pcs_module-Jaguar 1  Unit 21B8  pcs_1_module_3-P (max),pcs_module-Jaguar 1  Unit 21B8  pcs_1_module_4-P (max)
2025-08-24T00:01:00.000+00:00,3.344,3.579,,-18,-35,,,,-2370.0678,,,-15.6,-4.4,-4.2
2025-08-24T00:02:00.000+00:00,3.344,3.579,,-14,-34,,,,-2376.8006,,0,-15.2,-4.2,-4.2
2025-08-24T00:03:00.000+00:00,3.344,3.579,,-16,-35,,-2090,,-2377.2214,2090,0,-15.7,-3.8,-3.5
2025-08-24T00:04:00.000+00:00,3.344,3.579,,-14,-35,0,-2090,-1332.375,-2376.3798,2090,0,-15.9,-3.9,-4.1
2025-08-24T00:05:00.000+00:00,3.344,3.579,,-15,-34,0,-2090,-1332.375,-2377.8526,2090,0,-15.6,-3.8,-4.3
2025-08-24T00:06:00.000+00:00,3.344,3.579,0,-17,-35,0,-2090,-1332.375,-2378.9046,2090,0,-15.7,-3.7,-4
2025-08-24T00:07:00.000+00:00,3.344,3.58,0,-14,-34,0,-2090,-1306.25,-2354.2524,2090,0,-15.7,-4.1,-3.8
2025-08-24T00:08:00.000+00:00,3.344,3.578,0,-16,-34,0,-2090,-1306.25,-2349.2028,2090,0,-15.7,-4.4,-4
2025-08-24T00:09:00.000+00:00,3.344,3.579,0,-16,-34,0,-2090,-1306.25,-2347.0988,2090,0,-15.6,-3.8,-3.5
2025-08-24T00:10:00.000+00:00,3.344,3.579,0,-14,-34,0,-2090,-1306.25,-2346.0468,2090,0,-15.4,-4.2,-3.7
2025-08-24T00:11:00.000+00:00,3.344,3.579,0.5,-15,-34,0,-2090,-1306.25,-2348.1508,2090,0,-15.9,-3.8,-4.1
2025-08-24T00:12:00.000+00:00,3.344,3.579,0.5,-15,-34,0,-2090,-1358.5,-2349.6236,2090,0,-15.8,-3.7,-4.2
2025-08-24T00:13:00.000+00:00,3.344,3.578,0.5,-14,-34,0,-2090,-1358.5,-2401.4528,2090,0,-16,-4.6,-3.9
2025-08-24T00:14:00.000+00:00,3.344,3.578,0.5,-14,-35,0,-2090,-1358.5,-2399.98,2090,0,-15.5,-3.9,-4.2
2025-08-24T00:15:00.000+00:00,3.344,3.578,0.7,-14,-35,0,-2090,-1358.5,-2403.136,2090,0,-15.8,-4,-4.1
2025-08-24T00:16:00.000+00:00,3.344,3.578,0.7,-16,-34,0,-2090,-1358.5,-2400.1904,2090,0,-16.1,-3.8,-4.6
2025-08-24T00:17:00.000+00:00,3.344,3.578,0.7,-14,-35,0,-2090,-1358.5,-2399.98,2090,0,-15.4,-4.3,-4.1
2025-08-24T00:18:00.000+00:00,3.344,3.578,0.7,-12,-35,0,-2090,-1358.5,-2399.7696,2090,0,-15.7,-4.5,-4.2
2025-08-24T00:19:00.000+00:00,3.344,3.578,0.7,-10,-35,0,-2090,-1358.5,-2399.1384,2090,0,-15.7,-3.9,-4
2025-08-24T00:20:00.000+00:00,3.344,3.579,0.5,-18,-35,0,-2090,-1332.375,-2382.0606,2090,0,-15.2,-3.8,-4.4
2025-08-24T00:21:00.000+00:00,3.344,3.579,0.5,-17,-34,0,-2090,-1332.375,-2378.063,2090,0,-16,-3.9,-4.5
2025-08-24T00:22:00.000+00:00,3.344,3.579,0.5,-17,-35,0,-2090,-1332.375,-2377.6422,2090,0,-15.1,-4.4,-3.5
2025-08-24T00:23:00.000+00:00,3.344,3.579,0.5,-16,-35,0,-2090,-1332.375,-2376.5902,2090,0,-16.1,-4.7,-4.7
2025-08-24T00:24:00.000+00:00,3.344,3.579,0.5,-16,-35,0,-2090,-1332.375,-2378.9046,2090,0,-15.9,-3.5,-4
2025-08-24T00:25:00.000+00:00,3.344,3.579,0,-14,-35,0,-2090,-1332.375,-2376.1694,2090,0,-15.7,-4.3,-4.1
2025-08-24T00:26:00.000+00:00,3.344,3.579,0,-12,-35,0,-2090,-1332.375,-2371.9614,2090,0,-14.8,-4.3,-4
2025-08-24T00:27:00.000+00:00,3.344,3.579,0.5,-6,-35,0,-2090,-1332.375,-2371.751,2090,0,-15.3,-4,-3.9
2025-08-24T00:28:00.000+00:00,3.344,3.579,0.5,-12,-34,0,-2090,-1332.375,-2374.2758,2090,0,-15.8,-4.4,-4.4
2025-08-24T00:29:00.000+00:00,3.344,3.579,0.5,-16,-34,0,-2090,-1332.375,-2374.2758,2090,0,-15.8,-4.4,-4.2
2025-08-24T00:30:00.000+00:00,3.345,3.579,1,-16,-35,0,-2090,-1332.375,-2372.803,2090,0,-15.5,-4,-3.7
2025-08-24T00:31:00.000+00:00,3.345,3.578,1,-16,-35,0,-2090,-1332.375,-2375.959,2090,0,-15.5,-4.2,-4.1
2025-08-24T00:32:00.000+00:00,3.345,3.578,1,-15,-35,0,-2090,-1332.375,-2377.011,2090,0,-15.6,-4.2,-3.9
2025-08-24T00:33:00.000+00:00,3.344,3.578,2.1,-14,-34,0,-2090,-1332.375,-2371.3302,2090,0,-15.6,-4.1,-4.2
2025-08-24T00:34:00.000+00:00,3.344,3.578,0.5,-16,-34,0,-2090,-1332.375,-2374.907,2090,0,-15.8,-4.3,-4.2
2025-08-24T00:35:00.000+00:00,3.344,3.578,0,-14,-34,0,-2090,-1384.625,-2374.907,2090,0,-15.1,-4.4,-4.3
2025-08-24T00:36:00.000+00:00,3.344,3.578,0,-14,-36,0,-2090,-1358.5,-2406.292,2090,0,-15.4,-4.5,-4.4
2025-08-24T00:37:00.000+00:00,3.344,3.578,1,-14,-35,0,-2090,-1358.5,-2398.928,2090,0,-15.5,-4.1,-4
2025-08-24T00:38:00.000+00:00,3.344,3.577,1,-16,-35,0,-2090,-1358.5,-2401.2424,2090,0,-15.7,-4,-3.5
2025-08-24T00:39:00.000+00:00,3.344,3.578,0,-14,-35,0,-2090,-1358.5,-2401.6632,2090,0,-15.2,-4.1,-4.1
2025-08-24T00:40:00.000+00:00,3.344,3.578,0,-14,-35,0,-2090,-1358.5,-2401.8736,2090,0,-15.5,-4,-4.1
2025-08-24T00:41:00.000+00:00,3.344,3.577,0,-14,-35,0,-2090,-1358.5,-2398.5072,2090,0,-15,-4.2,-3.6
2025-08-24T00:42:00.000+00:00,3.344,3.577,1,-14,-34,0,-2090,-1358.5,-2399.7696,2090,0,-15.4,-4.4,-3.8
2025-08-24T00:43:00.000+00:00,3.344,3.577,0,-14,-35,0,-2090,-1358.5,-2400.1904,2090,0,-15.1,-3.6,-4.5
2025-08-24T00:44:00.000+00:00,3.343,3.577,1.2,-12,-35,0,-2090,-1410.75,-2399.3488,2090,0,-14.9,-3.9,-4.2
2025-08-24T00:45:00.000+00:00,3.344,3.576,0.5,-12,-35,0,-2090,-1410.75,-2450.7572,2090,0,-15,-4,-4.3
2025-08-24T00:46:00.000+00:00,3.344,3.575,2.7,-10,-34,0,-2090,-1410.75,-2446.97,2090,0,-14.9,-4.3,-4.4
2025-08-24T00:47:00.000+00:00,3.344,3.575,3.3,-10,-35,0,-2090,-1410.75,-2442.5516,2090,0,-14.7,-4.3,-4.5
2025-08-24T00:48:00.000+00:00,3.344,3.575,3.3,-10,-35,0,-2090,-1410.75,-2452.0196,2090,0,-14.7,-4.3,-3.6
2025-08-24T00:49:00.000+00:00,3.344,3.575,0.5,-14,-35,0,-2090,-1410.75,-2450.7572,2090,0,-14.9,-4.6,-4.3
2025-08-24T00:50:00.000+00:00,3.344,3.575,0.5,-14,-35,0,-2090,-1436.875,-2452.0196,2090,0,-14.9,-4.5,-4.5
2025-08-24T00:51:00.000+00:00,3.344,3.576,0.5,-16,-34,0,-2090,-1410.75,-2460.8564,2090,0,-14.6,-4.4,-4.8
2025-08-24T00:52:00.000+00:00,3.344,3.577,0.5,-16,-35,0,-2090,-1384.625,-2434.7314,2090,0,-15.1,-4.3,-4.4
2025-08-24T00:53:00.000+00:00,3.344,3.578,0.5,-16,-35,0,-2090,-1358.5,-2408.8168,2090,0,-15.3,-4.2,-4
2025-08-24T00:54:00.000+00:00,3.344,3.579,0,-16,-35,0,-2090,-1332.375,-2382.6918,2090,0,-15.4,-3.5,-4.3
2025-08-24T00:55:00.000+00:00,3.344,3.579,0,-17,-35,0,-2090,-1332.375,-2382.6918,2090,0,-15.9,-4.2,-4.3
2025-08-24T00:56:00.000+00:00,3.344,3.579,0,-16,-35,0,-2090,-1332.375,-2382.6918,2090,0,-15.3,-3.7,-4.6
2025-08-24T00:57:00.000+00:00,3.345,3.579,0,-19,-35,0,-2090,-1332.375,-2382.4814,2090,0,-15.6,-4.3,-4.3
2025-08-24T00:58:00.000+00:00,3.345,3.58,0,-17,-34,0,-2090,-1306.25,-2355.9356,2090,0,-15.6,-4.1,-3.8
2025-08-24T00:59:00.000+00:00,3.345,3.58,0,-16,-34,0,-2090,-1306.25,-2356.3564,2090,0,-15.8,-4,-3.7
2025-08-24T01:00:00.000+00:00,3.345,3.58,0,-16,-35,0,-2090,-1306.25,-2356.7772,2090,0,-15.7,-3.9,-3.7
2025-08-24T01:01:00.000+00:00,3.345,3.58,0,-16,-35,0,-2090,-1306.25,-2356.3564,2090,0,-15.7,-4.2,-4
2025-08-24T01:02:00.000+00:00,3.345,3.58,0,-19,-34,0,-2090,-1306.25,-2356.5668,2090,0,-16,-4,-4.1
2025-08-24T01:03:00.000+00:00,3.345,3.58,0,-16,-35,0,-2090,-1306.25,-2356.5668,2090,0,-15.5,-3.6,-3.7
2025-08-24T01:04:00.000+00:00,3.344,3.58,193.5,357,337,0,-2090,-1306.25,-2357.198,2090,0,90.4,132.3,131.7
2025-08-24T01:05:00.000+00:00,3.339,3.488,376.8,743,708,0,-2090,-1306.25,-2357.8292,2090,0,216.5,257.4,256.6
2025-08-24T01:06:00.000+00:00,3.331,3.422,536.1,1109,1082,0,-2090,-1306.25,-2359.7228,2090,0,364.1,365,364.3
2025-08-24T01:07:00.000+00:00,3.322,3.382,690.3,1490,1455,0,-2090,-1306.25,-2359.302,2090,0,532.4,466.3,465.8
2025-08-24T01:08:00.000+00:00,3.311,3.348,844.2,1873,1826,0,-2090,-1306.25,-2359.302,2090,0,706.1,560.8,563.1
2025-08-24T01:09:00.000+00:00,3.3,3.315,999.2,2251,2201,0,-2090,-2090,-2366.2452,2090,0,879.5,664.6,665.8
2025-08-24T01:10:00.000+00:00,3.29,3.29,1178.7,2613,2544,0,-2090,-2090,-2731.4128,2090,0,1007.7,772.7,773.7
