Date UTC,bms-Jaguar 1  Unit 21B8  bms_1-MinCellV (max),bms-Jaguar 1  Unit 21B8  bms_2-MinCellV (max),bms-Jaguar 1  Unit 21B8  bms_1-SysVoltage (max),bms-Jaguar 1  Unit 21B8  bms_2-SysVoltage (max),bms-Jaguar 1  Unit 21B8  bms_1-SysCurrent (max),bms-Jaguar 1  Unit 21B8  bms_2-SysCurrent (max),unit-Jaguar 1  Unit 21B8-PCS_P (max),pcs-Jaguar 1  Unit 21B8  pcs_1-DCA (max),pcs-Jaguar 1  Unit 21B8  pcs_1-kW (max)
2025-08-25T16:05:00.000+00:00,3.3,3.212,1374.3,1338,5.6,9.7,0,7,-2
2025-08-25T16:10:00.000+00:00,3.3,3.212,1374.3,1337.9,5.6,9.7,0,7,-1
2025-08-25T16:15:00.000+00:00,3.3,3.212,1374.3,1337.7,5.5,9.7,0,7,-1
2025-08-25T16:20:00.000+00:00,3.3,3.211,1374.3,1337.7,5.5,9.7,0,7,-2
2025-08-25T16:25:00.000+00:00,3.3,3.211,1374.3,1337.6,5.5,9.4,0,6,-1
2025-08-25T16:30:00.000+00:00,3.3,3.211,1374.2,1337.4,5.6,9.7,0,7,-2
2025-08-25T16:35:00.000+00:00,3.3,3.211,1374.2,1337.3,5.6,9.6,0,7,-2
2025-08-25T16:40:00.000+00:00,3.3,3.21,1374,1337.3,5.4,9.5,0,6,-1
2025-08-25T16:45:00.000+00:00,3.3,3.21,1373.9,1337,5.4,9.6,0,6,-1
2025-08-25T16:50:00.000+00:00,3.299,3.21,1373.9,1336.9,5.5,9.5,0,6,-2
2025-08-25T16:55:00.000+00:00,3.299,3.21,1373.9,1336.9,5.5,9.6,0,6,-1
2025-08-25T17:00:00.000+00:00,3.299,3.209,1373.9,1336.8,5.5,9.5,0,6,-1
2025-08-25T17:05:00.000+00:00,3.299,3.209,1373.9,1336.7,5.5,9.4,0,7,-1
2025-08-25T17:10:00.000+00:00,3.299,3.209,1373.9,1336.5,5.5,9.6,0,6,-2
2025-08-25T17:15:00.000+00:00,3.299,3.209,1373.9,1336.5,5.4,9.7,0,6,-2
2025-08-25T17:20:00.000+00:00,3.299,3.209,1373.9,1336.4,5.5,9.4,0,7,-2
