Date UTC,site-Jaguar 1-Pset (mean),site-Jaguar 1-UnitsOnline (mean),site-Jaguar 1-BESSkW (mean),site-Jaguar 1-AllowedMaxP (mean),site-Jaguar 1-AllowedMinP (mean),site-Jaguar 1-PCS_P (mean),meter-Jaguar 1-kW (mean),meter-Jaguar 1-kVAR (mean),meter-Jaguar 1-Voltage (mean),meter-Jaguar 1-PF (mean),meter-Jaguar 1-Hz (mean),site-Jaguar 1-Qset (mean),site-Jaguar 1-PCS_Q (mean),site-Jaguar 1-AllowedMaxQ (mean),site-Jaguar 1-AllowedMinQ (mean),site-Jaguar 1-HS-CONTROL-P (mean),site-Jaguar 1-HS-CONTROL-Q (mean),site-Jaguar 1-RTAC_P (mean),site-Jaguar 1-RTAC_Q (mean)
2025-08-14T19:00:08.000+00:00,,,,,,,1293.404419,,,0.660597,,,-168.362197,144553.6368,-144553.6368,,-167.46900993333335,,
2025-08-14T19:00:09.000+00:00,,,-553,,,,1293.404419,,,0.660597,,,-169.105587,144555.7408,-144555.7408,,-169.3159290333333,,
2025-08-14T19:00:10.000+00:00,,,-554,,,,1293.404419,,354.875977,0.660597,,,-170.367528,144568.7856,-144568.7856,,-170.1947134516129,,
2025-08-14T19:00:11.000+00:00,,,-545,,,,1293.404419,,354.770752,0.660597,,,-171.730497,144571.7312,-144571.7312,,-170.50529650000001,,
2025-08-14T19:00:12.000+00:00,,,-547,,,,1293.404419,,354.777039,0.660597,,,-179.211714,144591.5088,-144591.5088,,-180.82550711111105,,
2025-08-14T19:00:13.000+00:00,,,-549,,,,1293.404419,,354.683411,0.660597,,,-180.208833,144555.32,-144555.32,,-180.24721980645165,,
2025-08-14T19:00:14.000+00:00,,,-552,,,,1303.957642,,354.849406,0.660597,,,-181.051496,144577.2016,-144577.2016,,-179.97741654545453,,
2025-08-14T19:00:15.000+00:00,,,-548,,,,1303.957642,,354.806081,0.660597,60.013115,,-180.032556,144584.776,-144584.776,,-180.88409993333335,,
2025-08-14T19:00:16.000+00:00,,,-546,,,,1303.957642,,354.911987,0.660597,60.013115,,-186.275619,144601.608,-144601.608,,-180.88409993333335,,
2025-08-14T19:00:17.000+00:00,,,-546,,,,1303.957642,,354.911987,0.660597,60.013115,,-186.275619,144601.608,-144601.608,,-180.88409993333335,,
