"Time (America/Los_Angeles)","Unit #27 (12B3).Batt Power Charge Limit EMS (BattPChLmtEMS)","Unit #27 (12B3).Batt Power Charge Limit (BattPChLmt)","Unit #27 (12B3).Battery Pack Power (BattP)","Unit #27 (12B3).DC kW (DCkW)","Unit #27 (12B3).Max Cell Voltage (CellVMax)","Unit #27 (12B3).PCS Command (PcsCmd)","Unit #27 (12B3).State of Charge (SoC)","Unit #27 (12B3).kW Cmd Received (kWin)","Unit #27 (12B3).kW Measured (kW)"
"2025-12-04 07:55:00",,-2929,17.22,,3.381,,99,0,-6
"2025-12-04 07:55:02",,-2929,17.22,,3.381,,99,0,-7
"2025-12-04 07:55:04",,-2929,18.36,,3.381,,99,0,-7
"2025-12-04 07:55:06",,-2929,17.22,,3.381,,99,0,-7
"2025-12-04 07:55:08",,-2929,17.22,,3.381,,99,0,-7
"2025-12-04 07:55:10",,-2929,17.22,,3.381,,99,0,-8
"2025-12-04 07:55:12",,-2929,17.22,,3.381,,99,0,-7
"2025-12-04 07:55:14",,-2929,17.22,,3.381,,99,0,-7
"2025-12-04 07:55:16",,-2929,18.36,,3.381,,99,0,-6
"2025-12-04 07:55:18",,-2929,17.22,,3.381,,99,0,-5
"2025-12-04 07:55:20",,-2929,18.36,,3.381,,99,0,-5
"2025-12-04 07:55:22",,-2929,17.22,,3.38,,99,0,-5
"2025-12-04 07:55:24",,-2928,17.22,,3.381,,99,0,-4
"2025-12-04 07:55:26",,-2928,17.22,,3.381,,99,0,-4
"2025-12-04 07:55:28",,-2928,17.22,,3.38,,99,0,-3
"2025-12-04 07:55:30",,-2928,17.22,,3.38,,99,0,-3
"2025-12-04 07:55:32",,-2928,17.22,,3.38,,99,0,-2
"2025-12-04 07:55:34",,-2928,17.22,,3.381,,99,0,-3
"2025-12-04 07:55:36",,-2928,17.22,,3.381,,99,0,-3
"2025-12-04 07:55:38",,-2928,17.22,,3.38,,99,0,-3
"2025-12-04 07:55:40",,-2928,17.22,,3.38,,99,0,-4
"2025-12-04 07:55:42",,-2928,17.22,,3.38,,99,0,-5
"2025-12-04 07:55:44",,-2928,17.22,,3.38,,99,0,-7
"2025-12-04 07:55:46",,-2928,17.22,,3.38,,99,0,-7
"2025-12-04 07:55:48",,-2928,17.22,,3.38,,99,0,-7
"2025-12-04 07:55:50",,-2928,17.22,,3.38,,99,0,-7
"2025-12-04 07:55:52",,-2928,17.22,,3.38,,99,0,-6
"2025-12-04 07:55:54",,-2928,17.22,,3.38,,99,0,-5
"2025-12-04 07:55:56",,-2928,17.22,,3.38,,99,0,-5
"2025-12-04 07:55:58",,-2928,17.22,,3.38,,99,0,-4
"2025-12-04 07:56:00",,-2928,17.22,,3.38,,99,0,-4
"2025-12-04 07:56:02",,-2928,17.21,,3.38,,99,0,-3
"2025-12-04 07:56:04",,-2928,17.21,,3.38,,99,0,-3
"2025-12-04 07:56:06",,-2928,17.21,,3.38,,99,0,-3
"2025-12-04 07:56:08",,-2928,17.21,,3.38,,99,0,-3
"2025-12-04 07:56:10",,-2928,17.21,,3.38,,99,0,-2
"2025-12-04 07:56:12",,-2928,17.21,,3.38,,99,0,-3
"2025-12-04 07:56:14",,-2928,17.21,,3.38,,99,0,-4
"2025-12-04 07:56:16",,-2928,17.21,,3.379,,99,0,-5
"2025-12-04 07:56:18",,-2928,17.21,,3.38,,99,0,-6
"2025-12-04 07:56:20",,-2928,17.21,,3.38,,99,0,-7
"2025-12-04 07:56:22",,-2928,17.21,,3.38,,99,0,-7
"2025-12-04 07:56:24",,-2928,17.21,,3.379,,99,0,-7
"2025-12-04 07:56:26",,-2928,17.21,,3.379,,99,0,-7
"2025-12-04 07:56:28",,-2928,17.21,,3.38,,99,0,-6
"2025-12-04 07:56:30",,-2928,17.21,,3.379,,99,0,-5
"2025-12-04 07:56:32",,-2928,17.21,,3.38,,99,0,-4
"2025-12-04 07:56:34",,-2928,17.21,,3.379,,99,0,-3
"2025-12-04 07:56:36",,-2928,17.21,,3.38,,99,0,-3
"2025-12-04 07:56:38",,-2928,17.21,,3.379,,99,0,-2
"2025-12-04 07:56:40",,-2928,17.21,,3.379,,99,0,-3
"2025-12-04 07:56:42",,-2928,17.21,,3.379,,99,0,-4
"2025-12-04 07:56:44",,-2928,17.21,,3.379,,99,0,-5
"2025-12-04 07:56:46",,-2928,17.21,,3.379,,99,0,-7
"2025-12-04 07:56:48",,-2928,17.21,,3.379,,99,0,-7
"2025-12-04 07:56:50",,-2928,17.21,,3.379,,99,0,-7
"2025-12-04 07:56:52",,-2928,17.21,,3.379,,99,0,-7
"2025-12-04 07:56:54",,-2928,18.36,,3.379,,99,0,-7
"2025-12-04 07:56:56",,-2928,17.21,,3.379,,99,0,-6
"2025-12-04 07:56:58",,-2928,17.21,,3.379,,99,0,-4
"2025-12-04 07:57:00",,-2928,17.21,,3.379,,99,0,-4
"2025-12-04 07:57:02",,-2928,17.21,,3.379,,99,0,-3
"2025-12-04 07:57:04",,-2928,18.36,,3.379,,99,0,-3
"2025-12-04 07:57:06",,-2928,17.21,,3.379,,99,0,-3
"2025-12-04 07:57:08",,-2928,17.21,,3.379,,99,0,-4
