Time (America/Los_Angeles),Unit #29 (12B5).Batt Power Charge Limit EMS (BattPChLmtEMS),Unit #29 (12B5).Batt Power Charge Limit (BattPChLmt),Unit #29 (12B5).Batt Power Discharge Limit EMS (BattPDisLmtEMS),Unit #29 (12B5).Batt Power Discharge Limit (BattPDisLmt),Unit #29 (12B5).Battery Pack Power (BattP),Unit #29 (12B5).DC kW (DCkW),Unit #29 (12B5).Max Cell Voltage (CellVMax),Unit #29 (12B5).PCS Command (PcsCmd),Unit #29 (12B5).State of Charge (SoC),Unit #29 (12B5).kW Cmd Received (kWin),Unit #29 (12B5).kW Measured (kW)
2025-12-03T09:44:00,-4200,-3750,4200,3630,-2722.48,,3.526,,99,-2820,-2828
2025-12-03T09:44:02,-4200,-3750,4200,3630,-2722.48,,3.526,,99,-2820,-2823
2025-12-03T09:44:04,-4200,-3750,4200,3630,-2722.71,,3.527,,99,-2820,-2825
2025-12-03T09:44:06,-4200,-3750,4200,3630,-2722.71,,3.527,,99,-2820,-2826
2025-12-03T09:44:08,-4200,-3750,4200,3630,-2722.71,,3.527,,99,-2820,-2826
2025-12-03T09:44:10,-4200,-3750,4200,3630,-2722.71,,3.527,,99,-2820,-2826
2025-12-03T09:44:12,-4200,-3750,4200,3630,-2724.12,,3.527,,99,-2820,-2827
2025-12-03T09:44:14,-4200,-3750,4200,3630,-2721.75,,3.528,,99,-2820,-2826
2025-12-03T09:44:16,-4200,-3750,4200,3630,-2721.75,,3.528,,99,-2820,-2825
2025-12-03T09:44:18,-4200,-3750,4200,3630,-2721.75,,3.528,,99,-2820,-2822
2025-12-03T09:44:20,-4200,-3750,4200,3630,-2722.94,,3.528,,99,-2820,-2823
2025-12-03T09:44:22,-4200,-3750,4200,3630,-2721.98,,3.529,,99,-2820,-2822
2025-12-03T09:44:24,-4200,-3750,4200,3630,-2721.98,,3.529,,99,-2820,-2823
2025-12-03T09:44:26,-4200,-3750,4200,3630,-2720.8,,3.529,,99,-2820,-2822
2025-12-03T09:44:28,-4200,-3750,4200,3630,-2721.98,,3.529,,99,-2820,-2823
2025-12-03T09:44:30,-4200,-3750,4200,3630,-2720.8,,3.529,,99,-2820,-2824
2025-12-03T09:44:32,-4200,-3750,4200,3630,-2721.03,,3.529,,99,-2820,-2824
2025-12-03T09:44:34,-4200,-3750,4200,3630,-2721.03,,3.529,,99,-2820,-2822
2025-12-03T09:44:36,-4200,-3750,4200,3630,-2721.03,,3.53,,99,-2820,-2822
2025-12-03T09:44:38,-4200,-3750,4200,3630,-2721.03,,3.529,,99,-2820,-2824
2025-12-03T09:44:40,-4200,-3750,4200,3630,-2721.26,,3.53,,99,-2820,-2826
2025-12-03T09:44:42,-4200,-3750,4200,3630,-2721.26,,3.53,,99,-2820,-2826
2025-12-03T09:44:44,-4200,-3750,4200,3630,-2721.26,,3.53,,99,-2820,-2826
2025-12-03T09:44:46,-4200,-3750,4200,3630,-2721.26,,3.531,,99,-2820,-2828
2025-12-03T09:44:48,-4200,-3750,4200,3630,-2722.67,,3.531,,99,-2820,-2828
2025-12-03T09:44:50,-4200,-3750,4200,3630,-2721.49,,3.531,,99,-2820,-2828
2025-12-03T09:44:52,-4200,-3750,4200,3630,-2722.67,,3.531,,99,-2820,-2827
2025-12-03T09:44:54,-4200,-3750,4200,3630,-2720.3,,3.531,,99,-2820,-2827
2025-12-03T09:44:56,-4200,-3750,4200,3630,-2721.72,,3.532,,99,-2820,-2829
2025-12-03T09:44:58,-4200,-3750,4200,3630,-2724.09,,3.532,,99,-2820,-2828
2025-12-03T09:45:00,-4200,-3750,4200,3630,-2721.72,,3.532,,99,-2820,-2827
2025-12-03T09:45:02,-4200,-3750,4200,3630,-2722.9,,3.532,,99,-2820,-2828
2025-12-03T09:45:04,-4200,-3750,4200,3630,-2721.95,,3.533,,99,-2820,-2827
2025-12-03T09:45:06,-4200,-3750,4200,3630,-2723.13,,3.533,,99,-2820,-2826
2025-12-03T09:45:08,-4200,-3750,4200,3630,-2723.13,,3.533,,99,-2820,-2823
2025-12-03T09:45:10,-4200,-3750,4200,3630,-2721.95,,3.533,,99,-2820,-2826
2025-12-03T09:45:12,-4200,-3750,4200,3630,-2720.99,,3.533,,99,-2820,-2824
2025-12-03T09:45:14,-4200,-3750,4200,3630,-2722.17,,3.533,,99,-2820,-2825
2025-12-03T09:45:16,-4200,-3750,4200,3630,-2723.36,,3.534,,99,-2820,-2822
2025-12-03T09:45:18,-4200,-3750,4200,3630,-2723.36,,3.534,,99,-2820,-2824
2025-12-03T09:45:20,-4200,-3750,4200,3630,-2722.4,,3.534,,99,-2820,-2823
2025-12-03T09:45:22,-4200,-3750,4200,3630,-2722.4,,3.534,,99,-2820,-2822
2025-12-03T09:45:24,-4200,-3750,4200,3630,-2722.4,,3.535,,99,-2820,-2822
2025-12-03T09:45:26,-4200,-3750,4200,3630,-2722.4,,3.535,,99,-2820,-2822
2025-12-03T09:45:28,-4200,-3750,4200,3630,-2722.63,,3.535,,99,-2820,-2822
2025-12-03T09:45:30,-4200,-3750,4200,3630,-2722.63,,3.536,,99,-2820,-2823
2025-12-03T09:45:32,-4200,-3750,4200,3630,-2722.63,,3.536,,99,-2820,-2826
