date_rec,device_id,_faultCount,_cloudConnected,SiteSt,SiteMode,SiteCmd,SiteFlt3,SiteFlt4,SiteFlt1,SiteFlt2,SiteDiags,kWinCloud,kVArinCloud,kWinLocal,kVArinLocal,kWout,kVArout,kW,kVAr,Hz,DCkW,PPVphAB,PPVphBC,PPVphCA,SoC,SoCOnline,kWHOnline,UnitsOnline,StrsOnline,_last_active_ctrl_modes.0,_last_active_ctrl_modes.1,_last_active_ctrl_modes.2,_last_active_ctrl_modes.3,_last_active_ctrl_modes.4,_last_active_ctrl_modes.5,_PQ_Cloud_config,_PQ_Local_config,_fr_error,_fr_var_config,_ffr_var_config,_avr_v_config.v1,_avr_v_config.v2,_avr_v_config.v3,_avr_v_config.v4,_avr_v_config.v1_2,_avr_v_config.v2_2,_avr_v_config.v3_2,_avr_v_config.v4_2,_avr_v_config.q1,_avr_v_config.q2,_avr_v_config.q3,_avr_v_config.q4,_avr_v_config.q1_2,_avr_v_config.q2_2,_avr_v_config.q3_2,_avr_v_config.q4_2,CurtailmentInLocal,CurtailmentInRemote,_PQ_SingleP_kWinLocal_config,_PQ_SingleP_kWinCloud_config,_OpUOLL_Lim,_OpUOHL_Lim,_DailyDisLimMWh,_OpSOEMax_Lim,_OperOffset,_DailyEneCalErr,_DailyEneAlm,_siteBalEn,_kWH,mb_clientSt,_DailyEnergykWh,setPtAgg,_CAISOQualSW,_NS_PQ_CTRL,_NS_P_CMD,_NS_Q_CMD,_NS_AVR_CMD,_rawadsDot,_rawAGCSetPoint,MWGross,MVArGross,voltResource,MWXfmr,MVArXfmr,voltPOI,_11F1A_IA,_11F1A_IB,_11F1A_IC,_11F1A_VAB,_11F1A_VBC,_11F1A_VCA,_11F1A_P,_11F1A_Q,_11F1A_Hz,_11F1A_IG,_11F1A_IN,_11F1B_IA,_11F1B_IB,_11F1B_IC,_11F1B_VAB,_11F1B_VBC,_11F1B_VCA,_11F1B_P,_11F1B_Q,_11F1B_Hz,_11F1B_IG,_11F1B_IN,_UASW,_87LBL1_St,_11F1A_St,_11F1B_St,_DPAC1_Alm,_87LAL1_Alm,_87LBL1_Alm,_87TAT1_Alm,_87TBT1_Alm,_87BD1_Alm,_49T1_Alm,_90T1_Alm,_11BFT1_Alm,_11F1A_Alm,_11F1B_Alm,_DPAC1_Offline,_87LAL1_Offline,_87LBL1_Offline,_87TAT1_Offline,_87TBT1_Offline,_87BD1_Offline,_49T1_Offline,_90T1_Offline,_11BFT1_Offline,_11F1A_Offline,_11F1B_Offline,_HVACInhibitCmd,_HVACInhibitCmdA,_HVACInhibitCmdB,UCON,UAGC,_DPAC1_SW,_87LAL1_SW,_87LBL1_SW,_11BFT1_SW,_87TAT1_SW,_87TBT1_SW,_11F11_SW,_11F12_SW,_87BD1_SW,_49T1_SW,_90T1_SW,_AUX1_SW,_BATT_CHARG_SW,_ServiceATSSt,_ATS1St,_ATSASt,_GenSt,_OilPress,_CoolTmp,_OilTmp,_Fuel_lvl,_BattV,_DCChMode,_RunTime,_PoskWh,_kVAh,_StartNum,_FuelUsed,_GenStartLogic,_ATS1ManualLogic,_ATS1AutoLogic,_ATSAManualLogic,_ATSAAutoLogic,_ATS1Src1Hz,_ATS1Src1VL1N,_ATS1Src1VL2N,_ATS1Src1VL3N,_ATS1Src1VAvg,_ATS1Src1VL1L2,_ATS1Src1VL2L3,_ATS1Src1VL3L1,_ATS1Src1VLLAvg,_ATS1Src2Hz,_ATS1Src2VL1N,_ATS1Src2VL2N,_ATS1Src2VL3N,_ATS1Src2VAvg,_ATS1Src2VL1L2,_ATS1Src2VL2L3,_ATS1Src2VL3L1,_ATS1Src2VLLAvg,_ATSMainSrcHz,_ATSMainSrcVL3L1,_ATSEmerSrcHz,_ATSEmerSrcVL3L1,_ATSBSt,_ATSBManualLogic,_ATSBAutoLogic,_ATSASrc1Hz,_ATSASrc1VL1N,_ATSASrc1VL2N,_ATSASrc1VL3N,_ATSASrc1VAvg,_ATSASrc1VL1L2,_ATSASrc1VL2L3,_ATSASrc1VL3L1,_ATSASrc1VLLAvg,_ATSASrc2Hz,_ATSASrc2VL1N,_ATSASrc2VL2N,_ATSASrc2VL3N,_ATSASrc2VAvg,_ATSASrc2VL1L2,_ATSASrc2VL2L3,_ATSASrc2VL3L1,_ATSASrc2VLLAvg,_ATSBSrc1Hz,_ATSBSrc1VL1N,_ATSBSrc1VL2N,_ATSBSrc1VL3N,_ATSBSrc1VAvg,_ATSBSrc1VL1L2,_ATSBSrc1VL2L3,_ATSBSrc1VL3L1,_ATSBSrc1VLLAvg,_ATSBSrc2Hz,_ATSBSrc2VL1N,_ATSBSrc2VL2N,_ATSBSrc2VL3N,_ATSBSrc2VAvg,_ATSBSrc2VL1L2,_ATSBSrc2VL2L3,_ATSBSrc2VL3L1,_ATSBSrc2VLLAvg,_XFMR1IOAlms,_XFMRAIOAlms,_XFMRBIOAlms,_XFMR1Press,AGCSetPoint,adsDot,_AVRSPActual,_AvrSpErr,AVR_Q,PFR_P,breakerSt1,_HVACInhibitCnt1,_ExhaustCnt1,_HVACInhibitCnt1A,_ExhaustCnt1A,_HVACInhibitCnt1B,_ExhaustCnt1B,UOLL,UOHL,AGCSetPointFbk,SOEOnline,SOEMax,PFRDroop,PFRDb,OperRR,UCTL,UASW,GovBlkSt,AVRSt,_PFRSt,_dt,SiteChMax,SiteDisMax,_ads_error,_poi_comp_P,_poi_comp_Q,_rate_limiter_P,_rate_limiter_Q,_dist_weighted_average_cost,control_p.FR.P,control_p.FR.value_p,control_p.FR.kind,control_p.FR.init_err,control_p.FR.run_err,control_p.FR.inhibit,control_p.UTILITY_P.P,control_p.UTILITY_P.value_p,control_p.UTILITY_P.kind,control_p.UTILITY_P.init_err,control_p.UTILITY_P.run_err,control_p.OPERATOR_P.P,control_p.OPERATOR_P.value_p,control_p.OPERATOR_P.kind,control_p.OPERATOR_P.init_err,control_p.OPERATOR_P.run_err,control_q.AVR.Q,control_q.AVR.value_q,control_q.AVR.kind,control_q.AVR.init_err,control_q.AVR.run_err,control_q.AVR.inhibit,control_q.UTILITY_Q.Q,control_q.UTILITY_Q.value_q,control_q.UTILITY_Q.kind,control_q.UTILITY_Q.init_err,control_q.UTILITY_Q.run_err,control_q.OPERATOR_Q.Q,control_q.OPERATOR_Q.value_q,control_q.OPERATOR_Q.kind,control_q.OPERATOR_Q.init_err,control_q.OPERATOR_Q.run_err,curtail_p
2026-03-13T14:39:12Z,REV_TW1_S_01,0,TRUE,2,1,,0,0,0,0,0,,,-2445,0,-1775.592566,47.29517686680174,-2764.074,52.815,60.039,,34473,34578,34405,7.19,6.08,19452.96,20,928,AVR,FR,UTILITY_P,UTILITY_Q,OPERATOR_P,OPERATOR_Q,{},{},0,{},{},218500,229000,231000,241500,460,468,492,500,16500,0,0,-16500,200,0,0,-200,,,{},{},-50,50,1200,400,20,0,0,FALSE,36853.92,2,74776,-2940,0,0,0,0,0,0,12.09,-1.73,-0.03,34.43,0,0,229.93,25.7687,27.2308,27.1969,34474.0715,34522.5334,34444.4542,-1595.2431,-49.2182,60.0389,0.1677,0,0,0,0,34536.7622,34647.438,34526.165,0,0,60.038,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2097152,18,8,524304,0,0,67108868,67108868,0,25344,128,1,0,21,5,5,22,0,32765,0,0,27,0,224243,5960.1,6655.5,362,0,0,3,609,3,609,60,277,277,277,277,480,480,478,479,0,0,0,0,0,0,0,0,0,60.03,240.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2445,230000,TRUE,0,-33.738,1,0,0,0,0,0,0,-50,50,0,6.98,317.376,0.0494,0.036,20,1,0,0,1,1,0.20252541299851146,-60000,60000,FALSE,703.15,47.3,-2478.74,0,0.6228,-33.738,2,rel,FALSE,FALSE,FALSE,-2445,2,rel,FALSE,FALSE,0,0,rel,FALSE,FALSE,0,0,rel,FALSE,FALSE,FALSE,0,0,rel,FALSE,FALSE,0,0,rel,FALSE,FALSE,{}
2026-03-13T14:39:14Z,REV_TW1_S_01,0,TRUE,2,1,,0,0,0,0,0,,,-2462,0,-1732.374809,47.29517686680174,-2651.16,52.627,60.036,,34475,34579,34406,7.19,6.08,19452.96,20,928,AVR,FR,UTILITY_P,UTILITY_Q,OPERATOR_P,OPERATOR_Q,{},{},0,{},{},218500,229000,231000,241500,460,468,492,500,16500,0,0,-16500,200,0,0,-200,,,{},{},-50,50,1200,400,20,0,0,FALSE,36853.92,2,74776,-2940,0,0,0,0,0,0,12.09,-1.73,-0.03,34.43,0,0,229.93,26.2318,27.8517,27.412,34428.7338,34537.0674,34431.2668,-1620.7731,-39.97,60.042,0.2372,0,0,0,0,34527.4467,34660.2936,34476.1581,0,0,60.0375,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2097152,18,8,524304,0,0,67108868,67108868,0,25344,128,1,0,21,5,5,22,0,32765,0,0,27,0,224243,5960.1,6655.5,362,0,0,3,609,3,609,60,277,277,277,277,480,480,478,479,0,0,0,0,0,0,0,0,0,60.03,240.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2462,230000,TRUE,0,0,1,0,0,0,0,0,0,-50,50,0,6.98,317.376,0.0494,0.036,20,1,0,0,1,1,0.20286840599146672,-60000,60000,FALSE,729.63,47.3,-2462,0,0.6228,0,2,rel,FALSE,FALSE,FALSE,-2462,2,rel,FALSE,FALSE,0,0,rel,FALSE,FALSE,0,0,rel,FALSE,FALSE,FALSE,0,0,rel,FALSE,FALSE,0,0,rel,FALSE,FALSE,{}
2026-03-13T14:39:16Z,REV_TW1_S_01,0,TRUE,2,1,,0,0,0,0,0,,,-2484,0,-1754.374809,47.29517686680174,-2515.806,52.761,60.036,,34480,34585,34411,7.19,6.08,19452.96,20,928,AVR,FR,UTILITY_P,UTILITY_Q,OPERATOR_P,OPERATOR_Q,{},{},0,{},{},218500,229000,231000,241500,460,468,492,500,16500,0,0,-16500,200,0,0,-200,,,{},{},-50,50,1200,400,20,0,0,FALSE,36853.92,2,74776,-2940,0,0,0,0,0,0,12.09,-1.73,-0.03,34.43,0,0,229.93,24.4497,26.0752,26.1837,34439.8499,34556.385,34396.5874,-1525.123,-46.2104,60.0362,0.4802,0,0,0,0,34565.0635,34640.7852,34464.9582,0,0,60.0362,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2097152,18,8,524304,0,0,67108868,67108868,0,25344,128,1,0,21,5,5,22,0,32765,0,0,27,0,224243,5960.1,6655.5,362,0,0,3,609,3,609,60,277,277,277,277,480,480,478,479,0,0,0,0,0,0,0,0,0,60.03,240.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2484,230000,TRUE,0,0,1,0,0,0,0,0,0,-50,50,0,6.98,317.376,0.0494,0.036,20,1,0,0,1,1,0.2025099250022322,-60000,60000,FALSE,729.63,47.3,-2484,0,0.6228,0,2,rel,FALSE,FALSE,FALSE,-2484,2,rel,FALSE,FALSE,0,0,rel,FALSE,FALSE,0,0,rel,FALSE,FALSE,FALSE,0,0,rel,FALSE,FALSE,0,0,rel,FALSE,FALSE,{}
2026-03-13T14:39:18Z,REV_TW1_S_01,0,TRUE,2,1,,0,0,0,0,0,,,-2502,0,-1772.374809,47.29517686680174,-2616.987,64.503,60.036,,34479,34585,34410,7.19,6.08,19452.96,20,928,AVR,FR,UTILITY_P,UTILITY_Q,OPERATOR_P,OPERATOR_Q,{},{},0,{},{},218500,229000,231000,241500,460,468,492,500,16500,0,0,-16500,200,0,0,-200,,,{},{},-50,50,1200,400,20,0,0,FALSE,36853.92,2,74776,-2940,0,0,0,0,0,0,12.09,-1.73,-0.03,34.43,0,0,229.93,24.5241,25.7952,25.7792,34464.6339,34530.304,34379.4594,-1512.8444,-43.9434,60.0348,0.2372,0,0,0,0,34560.3905,34608.9401,34491.333,0,0,60.0326,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2097152,18,8,524304,0,0,67108868,67108868,0,25344,128,1,0,21,5,5,22,0,32765,0,0,27,0,224243,5960.1,6655.5,362,0,0,3,609,3,609,60,277,277,277,277,480,480,478,479,0,0,0,0,0,0,0,0,0,60.03,240.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2502,230000,TRUE,0,0,1,0,0,0,0,0,0,-50,50,0,6.98,317.376,0.0494,0.036,20,1,0,0,1,1,0.20260271499864757,-60000,60000,FALSE,729.63,47.3,-2502,0,0.6228,0,2,rel,FALSE,FALSE,FALSE,-2502,2,rel,FALSE,FALSE,0,0,rel,FALSE,FALSE,0,0,rel,FALSE,FALSE,FALSE,0,0,rel,FALSE,FALSE,0,0,rel,FALSE,FALSE,{}
2026-03-13T14:39:20Z,REV_TW1_S_01,0,TRUE,2,1,,0,0,0,0,0,,,-2524,0,-1794.374809,47.29517686680174,-2641.008,67.035,60.036,,34475,34580,34405,7.19,6.08,19452.96,20,928,AVR,FR,UTILITY_P,UTILITY_Q,OPERATOR_P,OPERATOR_Q,{},{},0,{},{},218500,229000,231000,241500,460,468,492,500,16500,0,0,-16500,200,0,0,-200,,,{},{},-50,50,1200,400,20,0,0,FALSE,36853.92,2,74776,-2940,0,0,0,0,0,0,12.09,-1.73,-0.03,34.43,0,0,229.93,24.3947,26.3156,26.2962,34472.4922,34512.8555,34417.8925,-1531.0459,-39.2311,60.0366,0.1677,0,0,0,0,34538.3377,34634.7618,34519.2642,0,0,60.0326,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2097152,18,8,524304,0,0,67108868,67108868,0,25344,128,1,0,21,5,5,22,0,32765,0,0,27,0,224243,5960.1,6655.5,362,0,0,3,609,3,609,60.1,277,277,276,276,480,480,478,479,0,0,0,0,0,0,0,0,0,60.05,240.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2524,230000,TRUE,0,0,1,0,0,0,0,0,0,-50,50,0,6.98,317.376,0.0494,0.036,20,1,0,0,1,1,0.20228996600781102,-60000,60000,FALSE,729.63,47.3,-2524,0,0.6228,0,2,rel,FALSE,FALSE,FALSE,-2524,2,rel,FALSE,FALSE,0,0,rel,FALSE,FALSE,0,0,rel,FALSE,FALSE,FALSE,0,0,rel,FALSE,FALSE,0,0,rel,FALSE,FALSE,{}
2026-03-13T14:39:22Z,REV_TW1_S_01,0,TRUE,2,1,,0,0,0,0,0,,,-2540,0,-1810.374809,47.29517686680174,-2652.438,67.135,60.034,,34469,34575,34399,7.19,6.08,19452.96,20,928,AVR,FR,UTILITY_P,UTILITY_Q,OPERATOR_P,OPERATOR_Q,{},{},0,{},{},218500,229000,231000,241500,460,468,492,500,16500,0,0,-16500,200,0,0,-200,,,{},{},-50,50,1200,400,20,0,0,FALSE,36853.92,2,74776,-2940,0,0,0,0,0,0,12.09,-1.73,-0.03,34.43,0,0,229.93,25.1384,26.707,26.7459,34430.1834,34517.7956,34424.8886,-1562.3186,-40.8052,60.0335,0.375,0,0,0,0,34520.3743,34653.1601,34484.3826,0,0,60.0371,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2097152,18,8,524304,0,0,67108868,67108868,0,25344,128,1,0,21,5,5,22,0,32765,0,0,27,0,224243,5960.1,6655.5,362,0,0,3,609,3,609,60.1,277,277,276,276,480,480,478,479,0,0,0,0,0,0,0,0,0,60.05,240.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2540,230000,TRUE,0,0,1,0,0,0,0,0,0,-50,50,0,6.98,317.376,0.0494,0.036,20,1,0,0,1,1,0.20259812200674787,-60000,60000,FALSE,729.63,47.3,-2540,0,0.6228,0,2,rel,FALSE,FALSE,FALSE,-2540,2,rel,FALSE,FALSE,0,0,rel,FALSE,FALSE,0,0,rel,FALSE,FALSE,FALSE,0,0,rel,FALSE,FALSE,0,0,rel,FALSE,FALSE,{}
2026-03-13T14:39:24Z,REV_TW1_S_01,0,TRUE,2,1,,0,0,0,0,0,,,-2562,0,-1832.374809,47.29517686680174,-2689.346,59.698,60.032,,34482,34588,34413,7.19,6.08,19452.96,20,928,AVR,FR,UTILITY_P,UTILITY_Q,OPERATOR_P,OPERATOR_Q,{},{},0,{},{},218500,229000,231000,241500,460,468,492,500,16500,0,0,-16500,200,0,0,-200,,,{},{},-50,50,1200,400,20,0,0,FALSE,36853.92,2,74776,-2940,0,0,0,0,0,0,12.09,-1.73,-0.03,34.43,0,0,229.93,25.2564,27.0816,27.124,34443.2831,34563.858,34421.8712,-1580.492,-39.7666,60.0285,0.15,0,0,0,0,34562.0842,34668.1099,34479.6829,0,0,60.0308,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2097152,18,8,524304,0,0,67108868,67108868,0,25344,128,1,0,21,5,5,22,0,32765,0,0,27,0,224243,5960.1,6655.5,362,0,0,3,609,3,609,60.1,277,277,276,276,480,480,478,479,0,0,0,0,0,0,0,0,0,60.05,240.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2562,230000,TRUE,0,0,1,0,0,0,0,0,0,-50,50,0,6.98,317.376,0.0494,0.036,20,1,0,0,1,1,0.20269107299100142,-60000,60000,FALSE,729.63,47.3,-2562,0,0.6228,0,2,rel,FALSE,FALSE,FALSE,-2562,2,rel,FALSE,FALSE,0,0,rel,FALSE,FALSE,0,0,rel,FALSE,FALSE,FALSE,0,0,rel,FALSE,FALSE,0,0,rel,FALSE,FALSE,{}
2026-03-13T14:39:26Z,REV_TW1_S_01,0,TRUE,2,1,,0,0,0,0,0,,,-2584,0,-1848.374809,47.29517686680174,-2701.828,65.757,60.031,,34482,34588,34413,7.19,6.08,19452.96,20,928,AVR,FR,UTILITY_P,UTILITY_Q,OPERATOR_P,OPERATOR_Q,{},{},0,{},{},218500,229000,231000,241500,460,468,492,500,16500,0,0,-16500,200,0,0,-200,,,{},{},-50,50,1200,400,20,0,0,FALSE,36853.92,2,74776,-2940,0,0,0,0,0,0,12.09,-1.73,-0.03,34.43,0,0,229.93,25.8036,27.1357,27.0204,34457.6912,34552.5475,34387.6495,-1590.0545,-38.0127,60.0276,0.525,0,0,0,0,34576.21,34632.7362,34481.6437,0,0,60.0362,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2097152,18,8,524304,0,0,67108868,67108868,0,25344,128,1,0,21,5,5,22,0,32765,0,0,27,0,224243,5960.1,6655.5,362,0,0,3,609,3,609,60.1,277,277,276,276,480,480,478,479,0,0,0,0,0,0,0,0,0,60.05,240.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2584,230000,TRUE,0,0,1,0,0,0,0,0,0,-50,50,0,6.98,317.376,0.0494,0.036,20,1,0,0,1,1,0.2015192160033621,-60000,60000,FALSE,729.63,47.3,-2578,0,0.6228,0,2,rel,FALSE,FALSE,FALSE,-2578,2,rel,FALSE,FALSE,0,0,rel,FALSE,FALSE,0,0,rel,FALSE,FALSE,FALSE,0,0,rel,FALSE,FALSE,0,0,rel,FALSE,FALSE,{}
2026-03-13T14:39:28Z,REV_TW1_S_01,0,TRUE,2,1,,0,0,0,0,0,,,-2600,0,-1870.374809,47.29517686680174,-2727.19,58.658,60.033,,34486,34592,34416,7.19,6.08,19452.96,20,928,AVR,FR,UTILITY_P,UTILITY_Q,OPERATOR_P,OPERATOR_Q,{},{},0,{},{},218500,229000,231000,241500,460,468,492,500,16500,0,0,-16500,200,0,0,-200,,,{},{},-50,50,1200,400,20,0,0,FALSE,36853.92,2,74776,-2940,0,0,0,0,0,0,12.09,-1.73,-0.03,34.43,0,0,229.93,26.064,27.4935,27.5145,34482.6241,34531.8527,34403.019,-1612.3096,-50.0502,60.0294,0.1677,0,0,0,0,34559.6619,34625.2251,34513.4277,0,0,60.0294,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2097152,18,8,524304,0,0,67108868,67108868,0,25344,128,1,0,21,5,5,22,0,32765,0,0,27,0,224243,5960.1,6655.5,362,0,0,3,609,3,609,60,277,277,276,276,480,480,478,479,0,0,0,0,0,0,0,0,0,60.03,240.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2600,230000,TRUE,0,0,1,0,0,0,0,0,0,-50,50,0,6.98,317.376,0.0494,0.036,20,1,0,0,1,1,0.20266654599981848,-60000,60000,FALSE,729.63,47.3,-2600,0,0.6228,0,2,rel,FALSE,FALSE,FALSE,-2600,2,rel,FALSE,FALSE,0,0,rel,FALSE,FALSE,0,0,rel,FALSE,FALSE,FALSE,0,0,rel,FALSE,FALSE,0,0,rel,FALSE,FALSE,{}
2026-03-13T14:39:30Z,REV_TW1_S_01,0,TRUE,2,1,,0,0,0,0,0,,,-2622,0,-1892.374809,47.29517686680174,-2747.434,61.416,60.031,,34482,34588,34412,7.19,6.08,19452.96,20,928,AVR,FR,UTILITY_P,UTILITY_Q,OPERATOR_P,OPERATOR_Q,{},{},0,{},{},218500,229000,231000,241500,460,468,492,500,16500,0,0,-16500,200,0,0,-200,,,{},{},-50,50,1200,400,20,0,0,FALSE,36853.92,2,74776,-2940,0,0,0,0,0,0,12.09,-1.73,-0.03,34.43,0,0,229.93,26.2188,28.0113,27.8714,34459.9838,34512.6953,34425.2357,-1632.7115,-38.4088,60.0362,0.075,0,0,0,0,34525.4478,34642.4103,34506.6299,0,0,60.0312,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2097152,18,8,524304,0,0,67108868,67108868,0,25344,128,1,0,21,5,5,22,0,32765,0,0,27,0,224243,5960.1,6655.5,362,0,0,3,609,3,609,60,277,277,276,276,480,480,478,479,0,0,0,0,0,0,0,0,0,60.03,240.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2622,230000,TRUE,0,0,1,0,0,0,0,0,0,-50,50,0,6.98,317.376,0.0494,0.036,20,1,0,0,1,1,0.20276253399788402,-60000,60000,FALSE,729.63,47.3,-2622,0,0.6228,0,2,rel,FALSE,FALSE,FALSE,-2622,2,rel,FALSE,FALSE,0,0,rel,FALSE,FALSE,0,0,rel,FALSE,FALSE,FALSE,0,0,rel,FALSE,FALSE,0,0,rel,FALSE,FALSE,{}
