Time,Unit #01 (11A1).kW Measured (kW),Unit #02 (11A2).kW Measured (kW),Unit #03 (11A3).kW Measured (kW),Unit #04 (11A4).kW Measured (kW),Unit #05 (11A5).kW Measured (kW),Unit #06 (11A6).kW Measured (kW),Unit #07 (11A7).kW Measured (kW),Unit #08 (11A8).kW Measured (kW),Unit #09 (11B1).kW Measured (kW),Unit #10 (11B2).kW Measured (kW),Unit #11 (11B3).kW Measured (kW),Unit #12 (11B4).kW Measured (kW),Unit #13 (11B5).kW Measured (kW),Unit #14 (11B6).kW Measured (kW),Unit #15 (11B7).kW Measured (kW),Unit #16 (11B8).kW Measured (kW),Unit #17 (12A1).kW Measured (kW),Unit #18 (12A2).kW Measured (kW),Unit #19 (12A3).kW Measured (kW),Unit #20 (12A4).kW Measured (kW),Unit #27 (12B3).kW Measured (kW),Unit #28 (12B4).kW Measured (kW),Unit #29 (12B5).kW Measured (kW),Unit #30 (12B6).kW Measured (kW),Unit #31 (12B7).kW Measured (kW),Unit #32 (12B8).kW Measured (kW),Unit #21 (12A5).kW Measured (kW),Unit #22 (12A6).kW Measured (kW),Unit #23 (12A7).kW Measured (kW),Unit #24 (12A8).kW Measured (kW),Unit #25 (12B1).kW Measured (kW),Unit #26 (12B2).kW Measured (kW)
3/13/2026 10:30,0,0,0,0,0,0,0,0,-4,-3,-4,-7,-3,-5,-6,-4,-50,0,-6,-5,-3,-4,-3,0,-4,0,0,-6,-6,-3,-4,-5
3/13/2026 10:30,0,0,0,0,0,0,0,0,-4,-3,-3,-7,-5,-6,-6,-3,-51,0,-6,-6,-3,-4,-4,0,-4,0,0,-6,-6,-3,-3,-6
3/13/2026 10:30,0,0,0,0,0,0,0,0,-4,-4,-4,-6,-4,-6,-5,-4,-51,0,-5,-6,-4,-4,-4,0,-4,0,0,-5,-7,-3,-3,-7
3/13/2026 10:30,0,0,0,0,0,0,0,0,-4,-4,-4,-6,-5,-6,-4,-5,-52,0,-5,-6,-4,-5,-4,0,-4,0,0,-5,-7,-3,-3,-7
3/13/2026 10:30,0,0,0,0,0,0,0,0,-3,-5,-4,-6,-6,-6,-3,-6,-52,0,-4,-6,-3,-6,-5,0,-4,0,0,-5,-6,-3,-3,-7
3/13/2026 10:30,0,0,0,0,0,0,0,0,-3,-5,-3,-6,-7,-7,-3,-5,-52,0,-4,-6,-3,-6,-5,0,-4,0,0,-5,-6,-4,-3,-7
3/13/2026 10:30,0,0,0,0,0,0,0,0,-3,-6,-4,-5,-6,-5,-3,-6,-52,0,-4,-5,-4,-6,-6,0,-4,0,0,-4,-6,-4,-4,-8
3/13/2026 10:30,0,0,0,0,0,0,0,0,-4,-7,-5,-5,-7,-5,-3,-7,-52,0,-4,-5,-4,-6,-7,0,-5,0,0,-4,-5,-5,-4,-7
3/13/2026 10:30,0,0,0,0,0,0,0,0,-4,-8,-5,-4,-7,-5,-3,-6,-51,0,-4,-5,-4,-7,-7,0,-5,0,0,-3,-5,-5,-4,-6
3/13/2026 10:30,0,0,0,0,0,0,0,0,-3,-8,-5,-4,-7,-5,-3,-7,-52,0,-4,-5,-5,-7,-7,0,-5,0,0,-3,-5,-5,-5,-7
